post_id,username,comment,timestamp,platform
1001,Alice92,"Love this community! Everyone is so supportive.",2024-10-19 10:30:00,Forum
1002,Bob_XYZ,"You guys are idiots. This whole platform is trash.",2024-10-19 10:32:15,Forum
1003,Carol_Lee,"Great discussion! I learned a lot from reading this.",2024-10-19 10:35:42,Forum
1004,Dave123,"Shut up already. Nobody cares what you think.",2024-10-19 10:38:20,Forum
1005,Emma_W,"Thanks for sharing your perspective on this topic!",2024-10-19 10:40:55,Forum
1006,Frank_H,"You're so stupid it hurts. Get off the internet.",2024-10-19 10:43:12,Forum
1007,Grace_P,"I respectfully disagree, but I see your point.",2024-10-19 10:45:30,Forum
1008,Henry_K,"What a loser. Go back to where you came from.",2024-10-19 10:48:05,Forum
1009,Iris_M,"This is really helpful information. Much appreciated!",2024-10-19 10:50:22,Forum
1010,Jack_R,"You're pathetic. Can't believe anyone listens to you.",2024-10-19 10:52:40,Forum
1011,Kelly_S,"Excellent point! I hadn't thought about it that way.",2024-10-19 10:55:15,Forum
1012,Leo_T,"Your ideas are garbage. Delete your account.",2024-10-19 10:57:33,Forum
1013,Mia_V,"I appreciate everyone's contributions to this discussion.",2024-10-19 11:00:00,Forum
1014,Noah_W,"You're a waste of space. Nobody wants you here.",2024-10-19 11:02:18,Forum
1015,Olivia_X,"Let's keep the conversation respectful and productive.",2024-10-19 11:04:35,Forum

