id,text,author
1,"Great job on the presentation! Very insightful.",User123
2,"You're such an idiot. Nobody cares what you think.",User456
3,"Thanks for sharing this helpful information.",User789
4,"This is the dumbest thing I've ever seen. Delete this garbage.",User321
5,"I really appreciate your hard work on this project.",User654
6,"Why don't you just shut up? You're always wrong.",User987
7,"Interesting perspective! I'd love to hear more.",User111
8,"You're pathetic. Go back to where you came from.",User222
9,"This analysis is well-researched and thorough.",User333
10,"What a loser! Can't believe anyone listens to you.",User444
11,"I respectfully disagree, but I understand your point.",User555
12,"You're so stupid it hurts. How did you even get here?",User666
13,"Thank you for this thoughtful contribution.",User777
14,"Get lost, nobody wants you here. You're worthless.",User888
15,"Let's work together to find a solution.",User999
16,"This is absolutely brilliant! Well done!",UserABC
17,"You make me sick. Your ideas are trash.",UserDEF
18,"I have a different opinion, but I respect yours.",UserGHI
19,"You're a complete failure at everything you do.",UserJKL
20,"Great teamwork everyone! We achieved our goal.",UserMNO

